USAGE: ./time.sh <FILENAME> <MEMORY_SIZE>

Running FCFS on input/round_robin_fail.in. Memory size 200.

time 308, 3 running, numprocesses=2, numholes=1, memusage=75%
time 324, 1 running, numprocesses=2, numholes=2, memusage=75%
time 340, 2 running, numprocesses=2, numholes=1, memusage=75%
time 356, 3 running, numprocesses=2, numholes=2, memusage=75%
time 372, 1 running, numprocesses=2, numholes=1, memusage=75%
time 388, 2 running, numprocesses=2, numholes=2, memusage=75%
time 404, 3 running, numprocesses=2, numholes=1, memusage=75%
time 420, 1 running, numprocesses=2, numholes=2, memusage=75%
time 436, 2 running, numprocesses=2, numholes=1, memusage=75%
time 452, 3 running, numprocesses=2, numholes=2, memusage=75%
time 468, 1 running, numprocesses=2, numholes=1, memusage=75%
time 484, 2 running, numprocesses=2, numholes=2, memusage=75%
time 500, 3 running, numprocesses=2, numholes=1, memusage=75%
time 516, 1 running, numprocesses=2, numholes=2, memusage=75%
time 532, 2 running, numprocesses=2, numholes=1, memusage=75%
time 548, 3 running, numprocesses=2, numholes=2, memusage=75%
time 564, 1 running, numprocesses=2, numholes=1, memusage=75%
time 576, 2 running, numprocesses=2, numholes=1, memusage=75%
time 588, 3 running, numprocesses=1, numholes=1, memusage=38%
time 600, simulation finished.

Running PREEMPT mlfq on input/round_robin_fail.in. Memory size 200 

time 0, 1 running, numprocesses=1, numholes=1, memusage=38%
time 4, 2 running, numprocesses=2, numholes=1, memusage=75%
time 8, 3 running, numprocesses=2, numholes=2, memusage=75%
time 12, 1 running, numprocesses=2, numholes=1, memusage=75%
time 20, 2 running, numprocesses=2, numholes=2, memusage=75%
time 28, 3 running, numprocesses=2, numholes=1, memusage=75%
time 36, 1 running, numprocesses=2, numholes=2, memusage=75%
time 68, 2 running, numprocesses=2, numholes=1, memusage=75%
time 100, 3 running, numprocesses=2, numholes=2, memusage=75%
time 132, 1 running, numprocesses=2, numholes=1, memusage=75%
time 164, 2 running, numprocesses=2, numholes=2, memusage=75%
time 196, 3 running, numprocesses=2, numholes=1, memusage=75%
time 228, 1 running, numprocesses=2, numholes=2, memusage=75%
time 260, 2 running, numprocesses=2, numholes=1, memusage=75%
time 292, 3 running, numprocesses=2, numholes=2, memusage=75%
time 324, 1 running, numprocesses=2, numholes=1, memusage=75%
time 356, 2 running, numprocesses=2, numholes=2, memusage=75%
time 388, 3 running, numprocesses=2, numholes=1, memusage=75%
time 420, 1 running, numprocesses=2, numholes=2, memusage=75%
time 452, 2 running, numprocesses=2, numholes=1, memusage=75%
time 484, 3 running, numprocesses=2, numholes=2, memusage=75%
time 516, 1 running, numprocesses=2, numholes=1, memusage=75%
time 544, 2 running, numprocesses=2, numholes=1, memusage=75%
time 572, 3 running, numprocesses=1, numholes=1, memusage=38%
time 600, simulation finished.
