USAGE: ./time.sh <FILENAME> <MEMORY_SIZE>

Running FCFS on input/keyboard.in. Memory size 200.

time 416, 1 running, numprocesses=1, numholes=1, memusage=50%
time 432, 1 running, numprocesses=1, numholes=1, memusage=50%
time 448, 1 running, numprocesses=1, numholes=1, memusage=50%
time 464, 1 running, numprocesses=1, numholes=1, memusage=50%
time 480, 1 running, numprocesses=1, numholes=1, memusage=50%
time 496, 1 running, numprocesses=1, numholes=1, memusage=50%
time 512, 1 running, numprocesses=1, numholes=1, memusage=50%
time 528, 1 running, numprocesses=1, numholes=1, memusage=50%
time 550, 1 running, numprocesses=1, numholes=1, memusage=50%
time 555, simulation finished.

Running PREEMPT mlfq on input/keyboard.in. Memory size 200 

time 0, 1 running, numprocesses=1, numholes=1, memusage=50%
time 4, 1 running, numprocesses=1, numholes=1, memusage=50%
time 10, 2 running, numprocesses=2, numholes=1, memusage=53%
time 14, 1 running, numprocesses=2, numholes=1, memusage=53%
time 22, 2 running, numprocesses=2, numholes=1, memusage=53%
time 23, 1 running, numprocesses=1, numholes=1, memusage=50%
time 55, 1 running, numprocesses=1, numholes=1, memusage=50%
time 87, 1 running, numprocesses=1, numholes=1, memusage=50%
time 90, 3 running, numprocesses=2, numholes=1, memusage=53%
time 94, 3 running, numprocesses=2, numholes=1, memusage=53%
time 95, 1 running, numprocesses=1, numholes=1, memusage=50%
time 127, 1 running, numprocesses=1, numholes=1, memusage=50%
time 159, 1 running, numprocesses=1, numholes=1, memusage=50%
time 191, 1 running, numprocesses=1, numholes=1, memusage=50%
time 223, 1 running, numprocesses=1, numholes=1, memusage=50%
time 255, 1 running, numprocesses=1, numholes=1, memusage=50%
time 280, 1 running, numprocesses=1, numholes=1, memusage=50%
time 288, 1 running, numprocesses=1, numholes=1, memusage=50%
time 320, 1 running, numprocesses=1, numholes=1, memusage=50%
time 352, 1 running, numprocesses=1, numholes=1, memusage=50%
time 384, 1 running, numprocesses=1, numholes=1, memusage=50%
time 416, 1 running, numprocesses=1, numholes=1, memusage=50%
time 448, 1 running, numprocesses=1, numholes=1, memusage=50%
time 480, 1 running, numprocesses=1, numholes=1, memusage=50%
time 512, 1 running, numprocesses=1, numholes=1, memusage=50%
time 550, 1 running, numprocesses=1, numholes=1, memusage=50%
time 555, simulation finished.
